iter	RMSE
0	0.9544053416
1	0.9179496541
2	0.8834239288
3	0.8527812375
4	0.8241126498
5	0.7962466998
6	0.7711075084
7	0.7492893073
8	0.7277246492
9	0.7084903835
10	0.6891327296
11	0.6721300235
12	0.6573122976
13	0.6426511078
14	0.6296443477
15	0.6164395563
16	0.6053409729
17	0.5955456344
18	0.5866430464
19	0.577793661
20	0.5700562466
21	0.5628431949
22	0.5568575029
23	0.5500157759
24	0.5447516366
25	0.5392480559
26	0.5341203372
27	0.5300269643
28	0.5257712075
29	0.522615227
30	0.5190781722
31	0.5163378496
32	0.5132807154
33	0.510461687
34	0.5083921277
35	0.5062795755
36	0.5045092558
37	0.502365092
38	0.500267754
39	0.4984996964
40	0.4963612626
41	0.4951029128
42	0.4938194538
43	0.4918607927
44	0.4907446022
45	0.4895101066
46	0.4882978583
47	0.4873568949
48	0.4864949813
49	0.4856896165
50	0.4849588338
51	0.4842568641
52	0.4835473461
53	0.4829571337
54	0.4823762028
55	0.4818551046
56	0.4813338683
57	0.4806561179
58	0.4796109167
59	0.4785789981
60	0.4779910459
61	0.4774016014
62	0.476959781
63	0.4764229539
64	0.4754910233
65	0.4748263475
66	0.4742840019
67	0.4740081142
68	0.4734307427
69	0.4729113937
70	0.4725279266
71	0.4721770614
72	0.4718956683
73	0.4715703994
74	0.4708565625
75	0.4704313377
76	0.470183077
77	0.4696919689
78	0.4690870492
79	0.4682931343
80	0.4679898948
81	0.4676888151
82	0.4674063475
83	0.4671823847
84	0.4666776881
85	0.4661169128
86	0.4659311441
87	0.4653195663
88	0.4650369618
89	0.4646680746
90	0.4641413615
91	0.4636656526
92	0.4631232967
93	0.4628206499
94	0.46247602
95	0.4620271403
96	0.4617395841
97	0.4614351527
98	0.4610513301
99	0.4608215183
100	0.4606320323
101	0.4604258956
102	0.4599406755
103	0.4597154999
104	0.4592114471
105	0.4592015706
106	0.4589019216
107	0.4586535148
108	0.4583757166
109	0.4579556279
110	0.4576337229
111	0.4571114696
112	0.456880568
113	0.4566907287
114	0.456371652
115	0.4559231158
116	0.4555798864
117	0.455393079
118	0.4551142024
119	0.4549224149
120	0.4546425223
121	0.4544902752
122	0.4542752627
123	0.4540427115
124	0.4535314461
125	0.4530372601
126	0.4527092144
127	0.452489798
128	0.4522861197
129	0.4520345691
130	0.4517060931
131	0.4514345484
132	0.450685739
133	0.4504884922
134	0.4502911034
135	0.4501426444
136	0.4499132089
137	0.4496050434
138	0.4493739282
139	0.4491715522
140	0.4489965851
141	0.4488329555
142	0.4485246807
143	0.4483328738
144	0.4480796971
145	0.4477371536
146	0.4473836862
147	0.447176517
148	0.4469475982
149	0.4467337191
150	0.4465153422
151	0.4463119684
152	0.4460469868
153	0.4457901175
154	0.4456274308
155	0.4454006348
156	0.445090123
157	0.4448424987
158	0.4446631937
159	0.4443923016
160	0.444031124
161	0.4435500058
162	0.4433540271
163	0.4430257082
164	0.442702432
165	0.4425403075
166	0.4422778822
167	0.4420743163
168	0.4418899063
169	0.4417142259
170	0.4413261914
171	0.441160395
172	0.4409052538
173	0.4406225184
174	0.4402100523
175	0.4398767467
176	0.4395208822
177	0.4392721668
178	0.4391313869
179	0.4389687713
180	0.4387565248
181	0.4385193764
182	0.4381558523
183	0.4379237725
184	0.437656977
185	0.4373540187
186	0.4370331845
187	0.4367038025
188	0.43642429
189	0.4362217739
190	0.436010162
191	0.435729844
192	0.4354023398
193	0.4352007223
194	0.4349011915
195	0.4345372657
196	0.4342374587
197	0.4340258141
198	0.4338136034
199	0.4336226146
200	0.4333649682
201	0.4329574596
202	0.432693473
203	0.4323459586
204	0.4321918225
205	0.4320019899
206	0.4317010471
207	0.4314954412
208	0.4313102762
209	0.4310328816
210	0.4307132107
211	0.43050471
212	0.4303271993
213	0.4301651299
214	0.4298998344
215	0.4296816299
216	0.429489148
217	0.4292782368
218	0.4288608192
219	0.4286750398
220	0.4285191693
221	0.428260103
222	0.4280001037
223	0.4277134184
224	0.4273337029
225	0.4269850927
226	0.4267052453
227	0.4265285243
228	0.426321212
229	0.4260456846
230	0.4258416762
231	0.4254588511
232	0.425289818
233	0.4250575623
234	0.4248906222
235	0.424640757
236	0.4244874468
237	0.4243121293
238	0.4240935047
239	0.423851721
240	0.4235647439
241	0.4234175989
242	0.4231083369
243	0.4229067423
244	0.4227024761
245	0.4224941481
246	0.4223298537
247	0.4221479622
248	0.4219992969
249	0.421842389
250	0.4215734071
251	0.4213682207
252	0.4211640723
253	0.421000868
254	0.4208181583
255	0.420584315
256	0.4203825558
257	0.4201854594
258	0.4200609387
259	0.4198887376
260	0.4197700443
261	0.4195312717
262	0.419265128
263	0.4191070051
264	0.4189417345
265	0.4187361642
266	0.4185471001
267	0.4183638024
268	0.4181212305
269	0.4179440266
270	0.4176924914
271	0.4175201123
272	0.4172955369
273	0.4171584114
274	0.4167344585
275	0.4165421549
276	0.4162417002
277	0.415861432
278	0.4156627669
279	0.4154472194
280	0.4152394119
281	0.4150630255
282	0.4147854339
283	0.4146120115
284	0.4143494806
285	0.4141389253
286	0.4138900248
287	0.4136442466
288	0.4134339394
289	0.4132281333
290	0.4130894743
291	0.4128898597
292	0.4127659776
293	0.4123246875
294	0.412111499
295	0.411853597
296	0.4116132296
297	0.4115321532
298	0.4113957725
299	0.4112167999
300	0.4110238916
301	0.4108027152
302	0.4106840903
303	0.4105681592
304	0.4103810382
305	0.410151526
306	0.410055161
307	0.4097238944
308	0.4094560927
309	0.4092799804
310	0.4090955981
311	0.4088877637
312	0.4087216954
313	0.4085422284
314	0.4081906973
315	0.4078166924
316	0.4076855488
317	0.4074791102
318	0.4072521696
319	0.4070948044
320	0.4069176117
321	0.406736662
322	0.4065357663
323	0.4063641299
324	0.4061815897
325	0.4060832936
326	0.4058981102
327	0.4055781296
328	0.4053926897
329	0.4051911245
330	0.4050640486
331	0.4049421552
332	0.4048326193
333	0.4047187523
334	0.40448773
335	0.4042745896
336	0.4040527676
337	0.4039042855
338	0.4037459442
339	0.403528615
340	0.4033143607
341	0.4032071909
342	0.4030676849
343	0.402876843
344	0.4026407586
345	0.4024665083
346	0.4023786788
347	0.4022688243
348	0.4020021027
349	0.4018450968
350	0.4016264656
351	0.4014301121
352	0.4011517303
353	0.4009948896
354	0.4008248409
355	0.4006269524
356	0.4004959087
357	0.4002645019
358	0.4001109224
359	0.3998028141
360	0.399638782
361	0.3994452959
362	0.3992089888
363	0.3990469871
364	0.3988851885
365	0.3987490909
366	0.3985457266
367	0.3984496558
368	0.3982522127
369	0.3979550739
370	0.3978140999
371	0.3976019342
372	0.3973973324
373	0.3971080502
374	0.3969910232
375	0.3968141763
376	0.3967010279
377	0.3965037876
378	0.3963235673
379	0.3961172528
380	0.39597066
381	0.3958696991
382	0.3956426077
383	0.3954702721
384	0.395204707
385	0.3950644678
386	0.3949102695
387	0.3946876969
388	0.3945725086
389	0.3943873254
390	0.3941638449
391	0.3938926334
392	0.3938129465
393	0.393645555
394	0.3934564991
395	0.3931871575
396	0.3930081094
397	0.3929017361
398	0.3927412571
399	0.3926293377
400	0.3923708979
401	0.3922128246
402	0.3921095264
403	0.3919449007
404	0.3917754011
405	0.3915694469
406	0.3914072268
407	0.3912040649
408	0.3910908165
409	0.3908347793
410	0.3906931201
411	0.3905157969
412	0.3903686528
413	0.390271748
414	0.3901210394
415	0.3898261823
416	0.3896730791
417	0.389552242
418	0.3893652615
419	0.3892256809
420	0.3890381771
421	0.3889123861
422	0.3887308749
423	0.3885741846
424	0.3884272659
425	0.3882946899
426	0.3881471793
427	0.3879991683
428	0.3877363333
429	0.3875686958
430	0.3874346037
431	0.3872800604
432	0.387177098
433	0.3869294249
434	0.3867824379
435	0.3865880774
436	0.3864196627
437	0.3862559078
438	0.3860801165
439	0.3859992772
440	0.3858679812
441	0.3856299637
442	0.385549475
443	0.3851890851
444	0.3850109771
445	0.3847346969
446	0.3846048292
447	0.384431955
448	0.3842815079
449	0.3841041679
450	0.3838694401
451	0.3837551718
452	0.383587366
453	0.3834378177
454	0.383255056
455	0.3830317317
456	0.3828768579
457	0.3827415122
458	0.3825553642
459	0.3823888363
460	0.3822432832
461	0.3821456849
462	0.3820468059
463	0.3819597717
464	0.3818248266
465	0.3817244534
466	0.3815799521
467	0.3814327371
468	0.3812283118
469	0.3810860387
470	0.3809168315
471	0.3807559108
