iter	Passed	Remaining
0	2	2926
1	5	2675
2	7	2580
3	9	2482
4	12	2486
5	14	2467
6	17	2442
7	19	2370
8	21	2365
9	23	2354
10	26	2353
11	28	2311
12	30	2306
13	32	2296
14	34	2287
15	37	2290
16	39	2282
17	41	2287
18	44	2284
19	46	2280
20	48	2278
21	51	2275
22	53	2254
23	55	2252
24	57	2248
25	59	2244
26	62	2242
27	64	2245
28	66	2243
29	69	2239
30	71	2233
31	73	2228
32	75	2223
33	78	2227
34	80	2220
35	82	2212
36	84	2204
37	86	2195
38	88	2188
39	91	2185
40	93	2188
41	95	2183
42	97	2175
43	99	2170
44	101	2163
45	103	2155
46	105	2148
47	108	2142
48	110	2140
49	112	2136
50	114	2131
51	116	2125
52	118	2120
53	120	2116
54	122	2112
55	125	2110
56	127	2106
57	129	2101
58	131	2096
59	133	2095
60	135	2091
61	138	2088
62	140	2084
63	142	2085
64	144	2081
65	146	2077
66	148	2073
67	150	2068
68	152	2063
69	155	2060
70	157	2060
71	159	2057
72	161	2056
73	164	2052
74	166	2049
75	168	2044
76	170	2041
77	172	2037
78	174	2037
79	176	2032
80	178	2028
81	180	2026
82	183	2022
83	185	2018
84	187	2019
85	190	2022
86	192	2015
87	194	2011
88	196	2007
89	198	2004
90	200	2000
91	202	2001
92	205	2000
93	207	2000
94	209	1999
95	212	1998
96	214	2000
97	217	1998
98	219	1999
99	222	1999
100	224	1998
101	226	1995
102	229	1997
103	231	1998
104	234	1998
105	235	1986
106	237	1984
107	239	1981
108	242	1979
109	244	1976
110	246	1973
111	248	1971
112	251	1970
113	253	1972
114	255	1969
115	257	1965
116	259	1962
117	262	1959
118	264	1955
119	266	1951
120	268	1949
121	270	1946
122	272	1943
123	274	1940
124	276	1936
125	278	1933
126	280	1930
127	282	1927
128	285	1927
129	287	1925
130	289	1922
131	291	1919
132	293	1916
133	295	1912
134	298	1909
135	300	1907
136	302	1905
137	304	1901
138	306	1899
139	308	1897
140	311	1894
141	313	1892
142	315	1889
143	317	1888
144	319	1886
145	322	1884
146	324	1882
147	326	1880
148	328	1877
149	330	1874
150	332	1872
151	335	1870
152	337	1869
153	339	1866
154	342	1864
155	344	1862
156	346	1859
157	348	1857
158	350	1854
159	352	1851
160	354	1849
161	357	1847
162	359	1844
163	361	1841
164	363	1839
165	366	1839
166	368	1838
167	370	1836
168	372	1834
169	375	1832
170	377	1829
171	379	1826
172	382	1828
173	384	1826
174	386	1823
175	388	1820
176	390	1817
177	393	1815
178	395	1813
179	397	1811
180	399	1809
181	402	1808
182	404	1806
183	406	1804
184	408	1801
185	411	1799
186	413	1797
187	415	1795
188	417	1793
189	419	1790
190	422	1788
191	424	1785
192	426	1783
193	428	1782
194	431	1779
195	433	1777
196	435	1775
197	437	1772
198	439	1770
199	441	1767
200	443	1764
201	446	1763
202	448	1760
203	450	1758
204	452	1755
205	454	1753
206	456	1750
207	459	1748
208	461	1746
209	463	1744
210	465	1742
211	468	1740
212	470	1737
213	472	1735
214	474	1732
215	477	1732
216	479	1729
217	481	1727
218	483	1725
219	485	1722
220	488	1720
221	490	1717
222	492	1715
223	494	1713
224	496	1711
225	499	1709
226	501	1706
227	503	1704
228	505	1701
229	507	1699
230	509	1697
231	512	1695
232	514	1693
233	516	1690
234	518	1688
235	520	1686
236	522	1683
237	525	1681
238	527	1679
239	529	1677
240	531	1674
241	533	1672
242	535	1669
243	538	1667
244	540	1665
245	542	1663
246	544	1660
247	547	1658
248	549	1656
249	551	1654
250	553	1652
251	555	1650
252	558	1648
253	560	1646
254	562	1643
255	564	1641
256	567	1639
257	569	1637
258	571	1634
259	573	1632
260	576	1630
261	578	1629
262	580	1626
263	582	1624
264	584	1622
265	587	1619
266	589	1618
267	591	1616
268	594	1615
269	596	1613
270	598	1610
271	600	1608
272	603	1605
273	605	1604
274	607	1602
275	610	1600
276	612	1597
277	614	1595
278	616	1593
279	618	1591
280	621	1590
281	623	1588
282	626	1586
283	628	1584
284	630	1582
285	633	1580
286	635	1578
287	637	1576
288	639	1574
289	642	1572
290	644	1570
291	646	1568
292	649	1566
293	651	1564
294	653	1562
295	656	1560
296	658	1558
297	660	1555
298	662	1553
299	664	1551
300	667	1548
301	669	1546
302	671	1544
303	673	1541
304	675	1539
305	677	1537
306	679	1534
307	681	1532
308	683	1529
309	686	1527
310	688	1525
311	690	1522
312	692	1520
313	694	1518
314	696	1515
315	699	1513
316	701	1511
317	703	1508
318	705	1506
319	707	1504
320	710	1501
321	712	1499
322	714	1497
323	716	1495
324	718	1493
325	720	1490
326	723	1488
327	725	1485
328	727	1483
329	729	1481
330	731	1478
331	734	1476
332	736	1474
333	738	1472
334	740	1469
335	742	1467
336	744	1464
337	746	1462
338	748	1460
339	751	1458
340	753	1455
341	755	1453
342	757	1450
343	759	1448
344	761	1445
345	763	1443
346	766	1441
347	768	1439
348	770	1437
